,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,opinion_id,text,target,category,polarity,ote_start,ote_stop,ote,entity,attribute,text_cln,text_cln_lm,text_ints,target_seq,POS_tag_lists,POS_int_lists
13,13,13,13,13,1014458:4:0,"For the price, you cannot eat this well in Manhattan.",,RESTAURANT#PRICES,positive,0.0,0.0,0,RESTAURANT,PRICES,"['for', 'the', 'price', 'you', 'cannot', 'eat', 'this', 'well', 'in', 'manhattan']","['for', 'the', 'price', 'you', 'cannot', 'eat', 'this', 'well', 'in', 'manhattan']","[14, 2, 32, 16, 125, 57, 21, 82, 15, 179]",['null'],"['IN', 'DT', 'NN', 'PRP', 'VBP', 'VB', 'DT', 'NN', 'IN', 'NN']","[4, 3, 1, 7, 12, 9, 3, 1, 4, 1]"
14,14,14,14,14,1014458:4:1,"For the price, you cannot eat this well in Manhattan.",,FOOD#QUALITY,positive,0.0,0.0,0,FOOD,QUALITY,"['for', 'the', 'price', 'you', 'cannot', 'eat', 'this', 'well', 'in', 'manhattan']","['for', 'the', 'price', 'you', 'cannot', 'eat', 'this', 'well', 'in', 'manhattan']","[14, 2, 32, 16, 125, 57, 21, 82, 15, 179]",['null'],"['IN', 'DT', 'NN', 'PRP', 'VBP', 'VB', 'DT', 'NN', 'IN', 'NN']","[4, 3, 1, 7, 12, 9, 3, 1, 4, 1]"
15,15,15,15,15,1016296:0:0,I was very disappointed with this restaurant.,restaurant,RESTAURANT#GENERAL,negative,34.0,44.0,restaurant,RESTAURANT,GENERAL,"['i', 'was', 'very', 'disappointed', 'with', 'this', 'restaurant']","['i', 'be', 'very', 'disappoint', 'with', 'this', 'restaurant']","[6, 3, 27, 286, 23, 21, 36]",['restaurant'],"['LS', 'VBD', 'RB', 'VBN', 'IN', 'DT', 'NN']","[16, 8, 5, 13, 4, 3, 1]"
16,16,16,16,16,1016296:1:0,I have asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,cart attendant,SERVICE#GENERAL,negative,12.0,26.0,cart attendant,SERVICE,GENERAL,"['i', 'have', 'asked', 'a', 'cart', 'attendant', 'for', 'a', 'lotus', 'leaf', 'wrapped', 'rice', 'and', 'she', 'replied', 'back', 'rice', 'and', 'just', 'walked', 'away']","['i', 'have', 'ask', 'a', 'cart', 'attendant', 'for', 'a', 'lotus', 'leaf', 'wrap', 'rice', 'and', 'she', 'reply', 'back', 'rice', 'and', 'just', 'walk', 'away']","[6, 8, 126, 5, 1429, 1430, 14, 5, 1431, 1432, 1433, 132, 4, 208, 742, 69, 132, 4, 48, 270, 227]","['cart', 'attendant']","['LS', 'VBP', 'VBN', 'DT', 'NN', 'NN', 'IN', 'DT', 'FW', 'FW', 'VBN', 'NN', 'CC', 'PRP', 'VBD', 'RB', 'NN', 'CC', 'RB', 'VBD', 'RB']","[16, 12, 13, 3, 1, 1, 4, 3, 15, 15, 13, 1, 6, 7, 8, 5, 1, 6, 5, 8, 5]"
17,17,17,17,17,1016296:2:0,I had to ask her three times before she finally came back with the dish I have requested.,,SERVICE#GENERAL,negative,0.0,0.0,0,SERVICE,GENERAL,"['i', 'had', 'to', 'ask', 'her', 'three', 'times', 'before', 'she', 'finally', 'came', 'back', 'with', 'the', 'dish', 'i', 'have', 'requested']","['i', 'have', 'to', 'ask', 'her', 'three', 'time', 'before', 'she', 'finally', 'come', 'back', 'with', 'the', 'dish', 'i', 'have', 'request']","[6, 8, 7, 126, 361, 475, 41, 209, 208, 439, 74, 69, 23, 2, 62, 6, 8, 437]",['null'],"['LS', 'VBD', 'TO', 'VB', 'PRP', 'CD', 'NNS', 'IN', 'PRP', 'RB', 'VBD', 'RB', 'IN', 'DT', 'NN', 'FW', 'VBP', 'VBN']","[16, 8, 14, 9, 7, 22, 10, 4, 7, 5, 8, 5, 4, 3, 1, 15, 12, 13]"
18,18,18,18,18,1016296:3:0,"Food was okay, nothing great.",Food,FOOD#QUALITY,neutral,0.0,4.0,Food,FOOD,QUALITY,"['food', 'was', 'okay', 'nothing', 'great']","['food', 'be', 'okay', 'nothing', 'great']","[9, 3, 586, 180, 17]",['food'],"['NN', 'VBD', 'JJ', 'NN', 'JJ']","[1, 8, 2, 1, 2]"
19,19,19,19,19,1016296:4:0,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,Chow fun,FOOD#QUALITY,negative,0.0,8.0,Chow fun,FOOD,QUALITY,"['chow', 'fun', 'was', 'dry', 'pork', 'shu', 'mai', 'was', 'more', 'than', 'usually', 'greasy', 'and', 'had', 'to', 'share', 'a', 'table', 'with', 'loud', 'and', 'rude', 'family']","['chow', 'fun', 'be', 'dry', 'pork', 'shu', 'mai', 'be', 'more', 'than', 'usually', 'greasy', 'and', 'have', 'to', 'share', 'a', 'table', 'with', 'loud', 'and', 'rude', 'family']","[587, 174, 3, 362, 287, 743, 744, 3, 55, 93, 314, 653, 4, 8, 7, 297, 5, 92, 23, 588, 4, 166, 228]","['chow', 'fun']","['NN', 'NN', 'VBD', 'JJ', 'NN', 'FW', 'FW', 'VBD', 'JJR', 'IN', 'RB', 'JJ', 'CC', 'VBD', 'TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'CC', 'JJ', 'NN']","[1, 1, 8, 2, 1, 15, 15, 8, 24, 4, 5, 2, 6, 8, 14, 9, 3, 1, 4, 2, 6, 2, 1]"
20,20,20,20,20,1016296:4:1,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,pork shu mai,FOOD#QUALITY,negative,18.0,30.0,pork shu mai,FOOD,QUALITY,"['chow', 'fun', 'was', 'dry', 'pork', 'shu', 'mai', 'was', 'more', 'than', 'usually', 'greasy', 'and', 'had', 'to', 'share', 'a', 'table', 'with', 'loud', 'and', 'rude', 'family']","['chow', 'fun', 'be', 'dry', 'pork', 'shu', 'mai', 'be', 'more', 'than', 'usually', 'greasy', 'and', 'have', 'to', 'share', 'a', 'table', 'with', 'loud', 'and', 'rude', 'family']","[587, 174, 3, 362, 287, 743, 744, 3, 55, 93, 314, 653, 4, 8, 7, 297, 5, 92, 23, 588, 4, 166, 228]","['pork', 'shu', 'mai']","['NN', 'NN', 'VBD', 'JJ', 'NN', 'FW', 'FW', 'VBD', 'JJR', 'IN', 'RB', 'JJ', 'CC', 'VBD', 'TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'CC', 'JJ', 'NN']","[1, 1, 8, 2, 1, 15, 15, 8, 24, 4, 5, 2, 6, 8, 14, 9, 3, 1, 4, 2, 6, 2, 1]"
21,21,21,21,21,1016296:4:2,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,,RESTAURANT#MISCELLANEOUS,negative,0.0,0.0,0,RESTAURANT,MISCELLANEOUS,"['chow', 'fun', 'was', 'dry', 'pork', 'shu', 'mai', 'was', 'more', 'than', 'usually', 'greasy', 'and', 'had', 'to', 'share', 'a', 'table', 'with', 'loud', 'and', 'rude', 'family']","['chow', 'fun', 'be', 'dry', 'pork', 'shu', 'mai', 'be', 'more', 'than', 'usually', 'greasy', 'and', 'have', 'to', 'share', 'a', 'table', 'with', 'loud', 'and', 'rude', 'family']","[587, 174, 3, 362, 287, 743, 744, 3, 55, 93, 314, 653, 4, 8, 7, 297, 5, 92, 23, 588, 4, 166, 228]",['null'],"['NN', 'NN', 'VBD', 'JJ', 'NN', 'FW', 'FW', 'VBD', 'JJR', 'IN', 'RB', 'JJ', 'CC', 'VBD', 'TO', 'VB', 'DT', 'NN', 'IN', 'JJ', 'CC', 'JJ', 'NN']","[1, 1, 8, 2, 1, 15, 15, 8, 24, 4, 5, 2, 6, 8, 14, 9, 3, 1, 4, 2, 6, 2, 1]"
22,22,22,22,22,1016296:5:0,I/we will never go back to this place again.,place,RESTAURANT#GENERAL,negative,32.0,37.0,place,RESTAURANT,GENERAL,"['i', 'we', 'will', 'never', 'go', 'back', 'to', 'this', 'place', 'again']","['i', 'we', 'will', 'never', 'go', 'back', 'to', 'this', 'place', 'again']","[6, 10, 47, 64, 29, 69, 7, 21, 22, 146]",['place'],"['LS', 'PRP', 'MD', 'RB', 'VB', 'RB', 'TO', 'DT', 'NN', 'RB']","[16, 7, 19, 5, 9, 5, 14, 3, 1, 5]"
23,23,23,23,23,1028246:0:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,RESTAURANT#GENERAL,positive,35.0,39.0,Fish,RESTAURANT,GENERAL,"['went', 'on', 'a', 'day', 'oyster', 'binge', 'with', 'fish', 'bringing', 'up', 'the', 'closing', 'and', 'i', 'am', 'so', 'glad', 'this', 'was', 'the', 'place', 'it', 'o', 'trip', 'ended', 'because', 'it', 'was', 'so', 'great']","['go', 'on', 'a', 'day', 'oyster', 'binge', 'with', 'fish', 'bring', 'up', 'the', 'close', 'and', 'i', 'be', 'so', 'glad', 'this', 'be', 'the', 'place', 'it', 'o', 'trip', 'end', 'because', 'it', 'be', 'so', 'great']","[29, 28, 5, 271, 440, 1946, 23, 116, 504, 99, 2, 408, 4, 6, 3, 31, 1134, 21, 3, 2, 22, 12, 1434, 363, 409, 137, 12, 3, 31, 17]",['fish'],"['VBD', 'IN', 'DT', 'NN', 'NN', 'NN', 'IN', 'NN', 'VBG', 'RP', 'DT', 'NN', 'CC', 'LS', 'RB', 'RB', 'JJ', 'DT', 'VBD', 'DT', 'NN', 'PRP', 'NN', 'NN', 'VBD', 'IN', 'PRP', 'VBD', 'RB', 'JJ']","[8, 4, 3, 1, 1, 1, 4, 1, 18, 23, 3, 1, 6, 16, 5, 5, 2, 3, 8, 3, 1, 7, 1, 1, 8, 4, 7, 8, 5, 2]"
24,24,24,24,24,1028246:1:0,"Service was devine, oysters where a sensual as they come, and the price cannot be beat!!!",Service,SERVICE#GENERAL,positive,0.0,7.0,Service,SERVICE,GENERAL,"['service', 'was', 'devine', 'oysters', 'where', 'a', 'sensual', 'as', 'they', 'come', 'and', 'the', 'price', 'cannot', 'be', 'beat']","['service', 'be', 'devine', 'oyster', 'where', 'a', 'sensual', 'as', 'they', 'come', 'and', 'the', 'price', 'cannot', 'be', 'beat']","[19, 3, 1135, 440, 315, 5, 1136, 40, 33, 74, 4, 2, 32, 125, 3, 540]",['service'],"['NN', 'VBD', 'JJ', 'NNS', 'WRB', 'DT', 'JJ', 'IN', 'PRP', 'VBP', 'CC', 'DT', 'NN', 'NN', 'VB', 'VBN']","[1, 8, 2, 10, 26, 3, 2, 4, 7, 12, 6, 3, 1, 1, 9, 13]"
25,25,25,25,25,1028246:1:1,"Service was devine, oysters where a sensual as they come, and the price cannot be beat!!!",oysters,FOOD#QUALITY,positive,20.0,27.0,oysters,FOOD,QUALITY,"['service', 'was', 'devine', 'oysters', 'where', 'a', 'sensual', 'as', 'they', 'come', 'and', 'the', 'price', 'cannot', 'be', 'beat']","['service', 'be', 'devine', 'oyster', 'where', 'a', 'sensual', 'as', 'they', 'come', 'and', 'the', 'price', 'cannot', 'be', 'beat']","[19, 3, 1135, 440, 315, 5, 1136, 40, 33, 74, 4, 2, 32, 125, 3, 540]",['oyster'],"['NN', 'VBD', 'JJ', 'NNS', 'WRB', 'DT', 'JJ', 'IN', 'PRP', 'VBP', 'CC', 'DT', 'NN', 'NN', 'VB', 'VBN']","[1, 8, 2, 10, 26, 3, 2, 4, 7, 12, 6, 3, 1, 1, 9, 13]"
26,26,26,26,26,1028246:1:2,"Service was devine, oysters where a sensual as they come, and the price cannot be beat!!!",,RESTAURANT#PRICES,positive,0.0,0.0,0,RESTAURANT,PRICES,"['service', 'was', 'devine', 'oysters', 'where', 'a', 'sensual', 'as', 'they', 'come', 'and', 'the', 'price', 'cannot', 'be', 'beat']","['service', 'be', 'devine', 'oyster', 'where', 'a', 'sensual', 'as', 'they', 'come', 'and', 'the', 'price', 'cannot', 'be', 'beat']","[19, 3, 1135, 440, 315, 5, 1136, 40, 33, 74, 4, 2, 32, 125, 3, 540]",['null'],"['NN', 'VBD', 'JJ', 'NNS', 'WRB', 'DT', 'JJ', 'IN', 'PRP', 'VBP', 'CC', 'DT', 'NN', 'NN', 'VB', 'VBN']","[1, 8, 2, 10, 26, 3, 2, 4, 7, 12, 6, 3, 1, 1, 9, 13]"
27,27,27,27,27,1028246:2:0,You cannot go wrong here.,,RESTAURANT#GENERAL,positive,0.0,0.0,0,RESTAURANT,GENERAL,"['you', 'cannot', 'go', 'wrong', 'here']","['you', 'cannot', 'go', 'wrong', 'here']","[16, 125, 29, 441, 51]",['null'],"['PRP', 'VBP', 'VB', 'JJ', 'RB']","[7, 12, 9, 2, 5]"
28,28,28,28,28,1032695:0:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,Restaurant Saul,RESTAURANT#GENERAL,positive,50.0,65.0,Restaurant Saul,RESTAURANT,GENERAL,"['every', 'time', 'in', 'new', 'york', 'i', 'make', 'it', 'a', 'point', 'to', 'visit', 'restaurant', 'saul', 'on', 'smith', 'street']","['every', 'time', 'in', 'new', 'york', 'i', 'make', 'it', 'a', 'point', 'to', 'visit', 'restaurant', 'saul', 'on', 'smith', 'street']","[157, 41, 15, 120, 255, 6, 39, 12, 5, 442, 7, 143, 36, 824, 28, 1133, 473]","['restaurant', 'saul']","['DT', 'NN', 'IN', 'JJ', 'FW', 'FW', 'VB', 'PRP', 'DT', 'NN', 'TO', 'VB', 'NN', 'NN', 'IN', 'NN', 'NN']","[3, 1, 4, 2, 15, 15, 9, 7, 3, 1, 14, 9, 1, 1, 4, 1, 1]"
29,29,29,29,29,1032695:1:0,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",,FOOD#QUALITY,positive,0.0,0.0,0,FOOD,QUALITY,"['everything', 'is', 'always', 'cooked', 'to', 'perfection', 'the', 'service', 'is', 'excellent', 'the', 'decor', 'cool', 'and', 'understated']","['everything', 'be', 'always', 'cook', 'to', 'perfection', 'the', 'service', 'be', 'excellent', 'the', 'decor', 'cool', 'and', 'understate']","[150, 3, 89, 298, 7, 541, 2, 19, 3, 56, 2, 87, 256, 4, 1137]",['null'],"['NN', 'VBZ', 'RB', 'VBN', 'TO', 'NN', 'DT', 'NN', 'VBZ', 'JJ', 'DT', 'NN', 'NN', 'CC', 'VBD']","[1, 11, 5, 13, 14, 1, 3, 1, 11, 2, 3, 1, 1, 6, 8]"
30,30,30,30,30,1032695:1:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,SERVICE#GENERAL,positive,47.0,54.0,service,SERVICE,GENERAL,"['everything', 'is', 'always', 'cooked', 'to', 'perfection', 'the', 'service', 'is', 'excellent', 'the', 'decor', 'cool', 'and', 'understated']","['everything', 'be', 'always', 'cook', 'to', 'perfection', 'the', 'service', 'be', 'excellent', 'the', 'decor', 'cool', 'and', 'understate']","[150, 3, 89, 298, 7, 541, 2, 19, 3, 56, 2, 87, 256, 4, 1137]",['service'],"['NN', 'VBZ', 'RB', 'VBN', 'TO', 'NN', 'DT', 'NN', 'VBZ', 'JJ', 'DT', 'NN', 'NN', 'CC', 'VBD']","[1, 11, 5, 13, 14, 1, 3, 1, 11, 2, 3, 1, 1, 6, 8]"
31,31,31,31,31,1032695:1:2,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",decor,AMBIENCE#GENERAL,positive,73.0,78.0,decor,AMBIENCE,GENERAL,"['everything', 'is', 'always', 'cooked', 'to', 'perfection', 'the', 'service', 'is', 'excellent', 'the', 'decor', 'cool', 'and', 'understated']","['everything', 'be', 'always', 'cook', 'to', 'perfection', 'the', 'service', 'be', 'excellent', 'the', 'decor', 'cool', 'and', 'understate']","[150, 3, 89, 298, 7, 541, 2, 19, 3, 56, 2, 87, 256, 4, 1137]",['decor'],"['NN', 'VBZ', 'RB', 'VBN', 'TO', 'NN', 'DT', 'NN', 'VBZ', 'JJ', 'DT', 'NN', 'NN', 'CC', 'VBD']","[1, 11, 5, 13, 14, 1, 3, 1, 11, 2, 3, 1, 1, 6, 8]"
32,32,32,32,32,1032695:2:0,I had the duck breast special on my last visit and it was incredible.,duck breast special,FOOD#QUALITY,positive,10.0,29.0,duck breast special,FOOD,QUALITY,"['i', 'had', 'the', 'duck', 'breast', 'special', 'on', 'my', 'last', 'visit', 'and', 'it', 'was', 'incredible']","['i', 'have', 'the', 'duck', 'breast', 'special', 'on', 'my', 'last', 'visit', 'and', 'it', 'be', 'incredible']","[6, 8, 2, 741, 1947, 113, 28, 25, 175, 143, 4, 12, 3, 410]","['duck', 'breast', 'special']","['LS', 'VBD', 'DT', 'NN', 'NN', 'JJ', 'IN', 'PRP$', 'JJ', 'NN', 'CC', 'PRP', 'VBD', 'JJ']","[16, 8, 3, 1, 1, 2, 4, 17, 2, 1, 6, 7, 8, 2]"
33,33,33,33,33,1032695:3:0,cannot wait wait for my next visit.,,RESTAURANT#GENERAL,positive,0.0,0.0,0,RESTAURANT,GENERAL,"['cannot', 'wait', 'wait', 'for', 'my', 'next', 'visit']","['cannot', 'wait', 'wait', 'for', 'my', 'next', 'visit']","[125, 90, 90, 14, 25, 364, 143]",['null'],"['JJ', 'NN', 'NN', 'IN', 'PRP$', 'JJ', 'NN']","[2, 1, 1, 4, 17, 2, 1]"
